area,title,room_type,square,position,detail_place,floor,total_floor,house_year,price
石景山,永乐东区  ,2室1厅  ,64.24平米  ,南 北,鲁谷租房,高楼层(共6层),高楼层(共6层),1981年建板楼,5200
石景山,古城西路  ,2室0厅  ,42.92平米  ,南 北,古城租房,中楼层(共5层),中楼层(共5层),1973年建板楼,4300
石景山,远洋山水  ,1室1厅  ,53.53平米  ,西,鲁谷租房,中楼层(共27层),中楼层(共27层),2007年建塔楼,5200
石景山,雍景天成  ,2室2厅  ,132.06平米  ,南 北,苹果园租房,低楼层(共9层),低楼层(共9层),2004年建板塔结合,9500
石景山,老山西里  ,2室1厅  ,62.34平米  ,南 北,老山租房,低楼层(共16层),低楼层(共16层),1985年建塔楼,5000
石景山,茂华景公馆  ,4室2厅  ,210.48平米  ,东南 北,杨庄租房,低楼层(共9层),低楼层(共9层),2007年建板楼,20000
石景山,远洋沁山水  ,3室1厅  ,139.96平米  ,南 北,鲁谷租房,高楼层(共21层),高楼层(共21层),2009年建板楼,16500
石景山,远洋沁山水  ,3室1厅  ,137.59平米  ,南 北,鲁谷租房,低楼层(共18层),低楼层(共18层),2011年建板楼,18000
石景山,远洋沁山水  ,3室2厅  ,126.43平米  ,东 西,鲁谷租房,低楼层(共23层),低楼层(共23层),2011年建板楼,15000
石景山,西井特钢楼  ,2室1厅  ,61.5平米  ,南 北,苹果园租房,高楼层(共6层),高楼层(共6层),1994年建板楼,4500
石景山,远洋山水  ,1室0厅  ,57.61平米  ,东,鲁谷租房,高楼层(共26层),高楼层(共26层),2007年建板塔结合,5600
石景山,八角南里  ,2室1厅  ,64.92平米  ,南,八角租房,低楼层(共20层),低楼层(共20层),1998年建塔楼,5000
石景山,广宁村  ,2室1厅  ,61.74平米  ,南,苹果园租房,高楼层(共6层),高楼层(共6层),1992年建板楼,3500
石景山,五芳园  ,1室1厅  ,44.31平米  ,南,鲁谷租房,低楼层(共6层),低楼层(共6层),1994年建板楼,4200
石景山,八角北里  ,3室1厅  ,67.06平米  ,南 北,八角租房,高楼层(共6层),高楼层(共6层),1986年建板楼,5500
石景山,模式口西里  ,2室1厅  ,65.63平米  ,南,苹果园租房,高楼层(共16层),高楼层(共16层),1990年建塔楼,4000
石景山,雍景四季  ,3室2厅  ,138.96平米  ,南 北,苹果园租房,低楼层(共23层),低楼层(共23层),2009年建板塔结合,9500
石景山,永乐西区  ,2室1厅  ,60.32平米  ,南 北,鲁谷租房,低楼层(共6层),低楼层(共6层),1989年建板楼,4700
石景山,古城南路  ,2室1厅  ,57.03平米  ,南 北,古城租房,高楼层(共5层),高楼层(共5层),1981年建板楼,5500
石景山,京汉旭城三期  ,4室1厅  ,144.17平米  ,南 北,鲁谷租房,高楼层(共8层),高楼层(共8层),2011年建板楼,11000
石景山,远洋沁山水  ,3室1厅  ,87.85平米  ,南 北,鲁谷租房,低楼层(共20层),低楼层(共20层),2009年建板楼,11000
石景山,燕山水泥厂  ,2室1厅  ,57.27平米  ,南 北,石景山其它租房,中楼层(共6层),中楼层(共6层),1992年建板楼,3800
石景山,永乐东区  ,2室1厅  ,64.99平米  ,南 北,鲁谷租房,中楼层(共6层),中楼层(共6层),1987年建板楼,4900
石景山,六合园  ,1室1厅  ,53.15平米  ,南,鲁谷租房,高楼层(共18层),高楼层(共18层),1996年建塔楼,4000
石景山,西下庄  ,2室1厅  ,56.99平米  ,东 西,苹果园租房,高楼层(共5层),高楼层(共5层),1994年建板楼,4500
石景山,古城北路  ,2室1厅  ,55.2平米  ,南 北,古城租房,高楼层(共6层),高楼层(共6层),1987年建板楼,5000
石景山,七星园  ,2室1厅  ,97.8平米  ,东 南,鲁谷租房,低楼层(共15层),低楼层(共15层),2003年建板塔结合,6500
房山,徜徉嘉园8号院  ,3室2厅  ,129.64平米  ,南 北,长阳租房,中楼层(共8层),中楼层(共8层),2014年建板楼,5800
